type                Na_Na               Na_Cl               Cl_Na               Cl_Cl               
0.322500            -8.452151           7.769866            7.769866            -8.452151           
0.323500            -9.191018           8.369151            8.369151            -9.191018           
0.324500            -9.885216           8.928600            8.928600            -9.885216           
0.325500            -10.531647          9.445720            9.445720            -10.531647          
0.326500            -11.127464          9.918236            9.918236            -11.127464          
0.327500            -11.670083          10.344105           10.344105           -11.670083          
0.328500            -12.157192          10.721523           10.721523           -12.157192          
0.329500            -12.586764          11.048933           11.048933           -12.586764          
0.330500            -12.957063          11.325030           11.325030           -12.957063          
0.331500            -13.266649          11.548767           11.548767           -13.266649          
0.332500            -13.514389          11.719358           11.719358           -13.514389          
0.333500            -13.699453          11.836281           11.836281           -13.699453          
0.334500            -13.821321          11.899277           11.899277           -13.821321          
0.335500            -13.879783          11.908352           11.908352           -13.879783          
0.336500            -13.874939          11.863775           11.863775           -13.874939          
0.337500            -13.807194          11.766074           11.766074           -13.807194          
0.338500            -13.677255          11.616032           11.616032           -13.677255          
0.339500            -13.486127          11.414684           11.414684           -13.486127          
0.340500            -13.235109          11.163308           11.163308           -13.235109          
0.341500            -12.925778          10.863419           10.863419           -12.925778          
0.342500            -12.559987          10.516758           10.516758           -12.559987          
0.343500            -12.139854          10.125287           10.125287           -12.139854          
0.344500            -11.667745          9.691172            9.691172            -11.667745          
0.345500            -11.146266          9.216775            9.216775            -11.146266          
0.346500            -10.578249          8.704644            8.704644            -10.578249          
0.347500            -9.966732           8.157493            8.157493            -9.966732           
0.348500            -9.314949           7.578192            7.578192            -9.314949           
0.349500            -8.626312           6.969753            6.969753            -8.626312           
0.350500            -7.904389           6.335313            6.335313            -7.904389           
0.351500            -7.152891           5.678117            5.678117            -7.152891           
0.352500            -6.375653           5.001503            5.001503            -6.375653           
0.353500            -5.576610           4.308888            4.308888            -5.576610           
0.354500            -4.759781           3.603743            3.603743            -4.759781           
0.355500            -3.929252           2.889587            2.889587            -3.929252           
0.356500            -3.089149           2.169958            2.169958            -3.089149           
0.357500            -2.243622           1.448406            1.448406            -2.243622           
0.358500            -1.396824           0.728467            0.728467            -1.396824           
0.359500            -0.552892           0.013654            0.013654            -0.552892           
0.360500            0.284075            -0.692567           -0.692567           0.284075            
0.361500            1.110035            -1.386790           -1.386790           1.110035            
0.362500            1.921021            -2.065686           -2.065686           1.921021            
0.363500            2.713162            -2.726017           -2.726017           2.713162            
0.364500            3.482698            -3.364654           -3.364654           3.482698            
0.365500            4.226002            -3.978592           -3.978592           4.226002            
0.366500            4.939593            -4.564959           -4.564959           4.939593            
0.367500            5.620154            -5.121037           -5.121037           5.620154            
0.368500            6.264546            -5.644266           -5.644266           6.264546            
0.369500            6.869824            -6.132263           -6.132263           6.869824            
0.370500            7.433248            -6.582826           -6.582826           7.433248            
0.371500            7.952298            -6.993952           -6.993952           7.952298            
0.372500            8.424683            -7.363836           -7.363836           8.424683            
0.373500            8.848348            -7.690886           -7.690886           8.848348            
0.374500            9.221492            -7.973727           -7.973727           9.221492            
0.375500            9.542564            -8.211207           -8.211207           9.542564            
0.376500            9.810278            -8.402402           -8.402402           9.810278            
0.377500            10.023613           -8.546616           -8.546616           10.023613           
0.378500            10.181817           -8.643389           -8.643389           10.181817           
0.379500            10.284412           -8.692492           -8.692492           10.284412           
0.380500            10.331193           -8.693933           -8.693933           10.331193           
0.381500            10.322226           -8.647950           -8.647950           10.322226           
0.382500            10.257850           -8.555012           -8.555012           10.257850           
0.383500            10.138671           -8.415815           -8.415815           10.138671           
0.384500            9.965557            -8.231278           -8.231278           9.965557            
0.385500            9.739636            -8.002535           -8.002535           9.739636            
0.386500            9.462287            -7.730931           -7.730931           9.462287            
0.387500            9.135131            -7.418014           -7.418014           9.135131            
0.388500            8.760024            -7.065526           -7.065526           8.760024            
0.389500            8.339046            -6.675392           -6.675392           8.339046            
0.390500            7.874489            -6.249713           -6.249713           7.874489            
0.391500            7.368845            -5.790752           -5.790752           7.368845            
0.392500            6.824796            -5.300923           -5.300923           6.824796            
0.393500            6.245193            -4.782782           -4.782782           6.245193            
0.394500            5.633048            -4.239006           -4.239006           5.633048            
0.395500            4.991518            -3.672388           -3.672388           4.991518            
0.396500            4.323884            -3.085816           -3.085816           4.323884            
0.397500            3.633539            -2.482263           -2.482263           3.633539            
0.398500            2.923969            -1.864771           -1.864771           2.923969            
0.399500            2.198738            -1.236433           -1.236433           2.198738            
0.400500            1.461465            -0.600383           -0.600383           1.461465            
0.401500            0.715813            0.040224            0.040224            0.715813            
0.402500            -0.034534           0.682227            0.682227            -0.034534           
0.403500            -0.785887           1.322471            1.322471            -0.785887           
0.404500            -1.534571           1.957826            1.957826            -1.534571           
0.405500            -2.276942           2.585201            2.585201            -2.276942           
0.406500            -3.009403           3.201557            3.201557            -3.009403           
0.407500            -3.728425           3.803926            3.803926            -3.728425           
0.408500            -4.430562           4.389420            4.389420            -4.430562           
0.409500            -5.112465           4.955248            4.955248            -5.112465           
0.410500            -5.770902           5.498729            5.498729            -5.770902           
0.411500            -6.402769           6.017301            6.017301            -6.402769           
0.412500            -7.005108           6.508539            6.508539            -7.005108           
0.413500            -7.575120           6.970161            6.970161            -7.575120           
0.414500            -8.110176           7.400041            7.400041            -8.110176           
0.415500            -8.607828           7.796218            7.796218            -8.607828           
0.416500            -9.065826           8.156903            8.156903            -9.065826           
0.417500            -9.482122           8.480493            8.480493            -9.482122           
0.418500            -9.854881           8.765568            8.765568            -9.854881           
0.419500            -10.182490          9.010908            9.010908            -10.182490          
0.420500            -10.463562          9.215489            9.215489            -10.463562          
0.421500            -10.696946          9.378493            9.378493            -10.696946          
0.422500            -10.881728          9.499309            9.499309            -10.881728          
0.423500            -11.017233          9.577533            9.577533            -11.017233          
0.424500            -11.103034          9.612974            9.612974            -11.103034          
0.425500            -11.138944          9.605648            9.605648            -11.138944          
0.426500            -11.125025          9.555783            9.555783            -11.125025          
0.427500            -11.061577          9.463812            9.463812            -11.061577          
0.428500            -10.949144          9.330372            9.330372            -10.949144          
0.429500            -10.788504          9.156301            9.156301            -10.788504          
0.430500            -10.580668          8.942631            8.942631            -10.580668          
0.431500            -10.326873          8.690583            8.690583            -10.326873          
0.432500            -10.028573          8.401561            8.401561            -10.028573          
0.433500            -9.687435           8.077144            8.077144            -9.687435           
0.434500            -9.305326           7.719076            7.719076            -9.305326           
0.435500            -8.884304           7.329258            7.329258            -8.884304           
0.436500            -8.426609           6.909740            6.909740            -8.426609           
0.437500            -7.934649           6.462705            6.462705            -7.934649           
0.438500            -7.410990           5.990463            5.990463            -7.410990           
0.439500            -6.858339           5.495439            5.495439            -6.858339           
0.440500            -6.279535           4.980156            4.980156            -6.279535           
0.441500            -5.677530           4.447227            4.447227            -5.677530           
0.442500            -5.055378           3.899339            3.899339            -5.055378           
