bin                 q                   Fx                  Icoh               
367                 18.375000           -1.000000           -0.010353           0.466407           
368                 18.425000           -1.000000           -0.008152           0.463218           
369                 18.475000           -1.000000           -0.005867           0.460086           
370                 18.525000           -1.000000           -0.003480           0.457016           
371                 18.575000           -1.000000           -0.000987           0.454010           
372                 18.625000           -1.000000           0.001603            0.451062           
373                 18.675000           -1.000000           0.004270            0.448164           
374                 18.725000           -1.000000           0.006986            0.445299           
375                 18.775000           -1.000000           0.009711            0.442452           
376                 18.825000           -1.000000           0.012403            0.439604           
377                 18.875000           -1.000000           0.015015            0.436735           
378                 18.925000           -1.000000           0.017502            0.433827           
379                 18.975000           -1.000000           0.019820            0.430862           
380                 19.025000           -1.000000           0.021932            0.427828           
381                 19.075000           -1.000000           0.023808            0.424715           
382                 19.125000           -1.000000           0.025429            0.421516           
383                 19.175000           -1.000000           0.026786            0.418232           
384                 19.225000           -1.000000           0.027883            0.414867           
385                 19.275000           -1.000000           0.028736            0.411430           
386                 19.325000           -1.000000           0.029375            0.407935           
387                 19.375000           -1.000000           0.029839            0.404400           
388                 19.425000           -1.000000           0.030177            0.400847           
389                 19.475000           -1.000000           0.030446            0.397297           
390                 19.525000           -1.000000           0.030706            0.393775           
391                 19.575000           -1.000000           0.031020            0.390304           
392                 19.625000           -1.000000           0.031445            0.386905           
393                 19.675000           -1.000000           0.032034            0.383596           
394                 19.725000           -1.000000           0.032827            0.380390           
395                 19.775000           -1.000000           0.033850            0.377295           
396                 19.825000           -1.000000           0.035113            0.374312           
397                 19.875000           -1.000000           0.036606            0.371434           
398                 19.925000           -1.000000           0.038301            0.368649           
399                 19.975000           -1.000000           0.040148            0.365938           
