type                Na_Na               Na_Cl               Cl_Na               Cl_Cl               
2.315000            3.042100            5.496535            5.496535            3.042100            
2.325000            1.905682            4.836563            4.836563            1.905682            
2.335000            0.801459            4.119833            4.119833            0.801459            
2.345000            -0.232011           3.361564            3.361564            -0.232011           
2.355000            -1.160946           2.580103            2.580103            -1.160946           
2.365000            -1.957575           1.796219            1.796219            -1.957575           
2.375000            -2.601072           1.032206            1.032206            -2.601072           
2.385000            -3.078136           0.310843            0.310843            -3.078136           
2.395000            -3.383234           -0.345729           -0.345729           -3.383234           
2.405000            -3.518478           -0.917150           -0.917150           -3.518478           
2.415000            -3.493178           -1.385928           -1.385928           -3.493178           
2.425000            -3.323097           -1.738420           -1.738420           -3.323097           
2.435000            -3.029441           -1.965629           -1.965629           -3.029441           
2.445000            -2.637656           -2.063773           -2.063773           -2.637656           
2.455000            -2.176081           -2.034589           -2.034589           -2.176081           
2.465000            -1.674524           -1.885344           -1.885344           -1.674524           
2.475000            -1.162833           -1.628550           -1.628550           -1.162833           
2.485000            -0.669521           -1.281391           -1.281391           -0.669521           
2.495000            -0.220502           -0.864883           -0.864883           -0.220502           
2.505000            0.161999            -0.402823           -0.402823           0.161999            
2.515000            0.460332            0.079425            0.079425            0.460332            
2.525000            0.662059            0.556248            0.556248            0.662059            
2.535000            0.760330            1.003117            1.003117            0.760330            
2.545000            0.753993            1.397873            1.397873            0.753993            
2.555000            0.647425            1.721889            1.721889            0.647425            
2.565000            0.450121            1.961040            1.961040            0.450121            
2.575000            0.176054            2.106428            2.106428            0.176054            
2.585000            -0.157155           2.154815            2.154815            -0.157155           
2.595000            -0.529212           2.108743            2.108743            -0.529212           
2.605000            -0.918221           1.976324            1.976324            -0.918221           
2.615000            -1.301811           1.770721            1.770721            -1.301811           
2.625000            -1.658247           1.509332            1.509332            -1.658247           
2.635000            -1.967494           1.212743            1.212743            -1.967494           
2.645000            -2.212178           0.903482            0.903482            -2.212178           
2.655000            -2.378401           0.604672            0.604672            -2.378401           
2.665000            -2.456382           0.338637            0.338637            -2.456382           
2.675000            -2.440898           0.125552            0.125552            -2.440898           
2.685000            -2.331501           -0.017787           -0.017787           -2.331501           
2.695000            -2.132517           -0.079004           -0.079004           -2.132517           
2.705000            -1.852818           -0.050928           -0.050928           -1.852818           
2.715000            -1.505390           0.067917            0.067917            -1.505390           
2.725000            -1.106709           0.273151            0.273151            -1.106709           
2.735000            -0.675962           0.554722            0.554722            -0.675962           
2.745000            -0.234148           0.897424            0.897424            -0.234148           
2.755000            0.196907            1.281718            1.281718            0.196907            
2.765000            0.595571            1.684823            1.684823            0.595571            
2.775000            0.941419            2.082006            2.082006            0.941419            
2.785000            1.216198            2.448011            2.448011            1.216198            
2.795000            1.404700            2.758531            2.758531            1.404700            
2.805000            1.495499            2.991665            2.991665            1.495499            
2.815000            1.481530            3.129253            3.129253            1.481530            
2.825000            1.360484            3.158029            3.158029            1.360484            
2.835000            1.134986            3.070519            3.070519            1.134986            
2.845000            0.812572            2.865635            2.865635            0.812572            
2.855000            0.405442            2.548924            2.548924            0.405442            
2.865000            -0.069986           2.132465            2.132465            -0.069986           
2.875000            -0.593718           1.634401            1.634401            -0.593718           
2.885000            -1.142976           1.078146            1.078146            -1.142976           
2.895000            -1.693134           0.491290            0.491290            -1.693134           
2.905000            -2.218735           -0.095723           -0.095723           -2.218735           
2.915000            -2.694566           -0.651097           -0.651097           -2.694566           
2.925000            -3.096732           -1.143262           -1.143262           -3.096732           
2.935000            -3.403698           -1.542467           -1.542467           -3.403698           
2.945000            -3.597237           -1.822292           -1.822292           -3.597237           
2.955000            -3.663260           -1.961000           -1.961000           -3.663260           
2.965000            -3.592486           -1.942666           -1.942666           -3.592486           
2.975000            -3.380910           -1.758021           -1.758021           -3.380910           
2.985000            -3.030068           -1.404960           -1.404960           -3.030068           
2.995000            -2.547066           -0.888711           -0.888711           -2.547066           
3.005000            -1.944381           -0.221633           -0.221633           -1.944381           
3.015000            -1.239433           0.577320            0.577320            -1.239433           
3.025000            -0.453947           1.483459            1.483459            -0.453947           
3.035000            0.386877            2.467472            2.467472            0.386877            
3.045000            1.255341            3.496757            3.496757            1.255341            
3.055000            2.122350            4.536875            4.536875            2.122350            
3.065000            2.958572            5.553074            5.553074            2.958572            
3.075000            3.735628            6.511784            6.511784            3.735628            
3.085000            4.427242            7.382024            7.382024            4.427242            
3.095000            5.010317            8.136649            8.136649            5.010317            
3.105000            5.465879            8.753373            8.753373            5.465879            
3.115000            5.779852            9.215534            9.215534            5.779852            
3.125000            5.943624            9.512566            9.512566            5.943624            
3.135000            5.954380            9.640169            9.640169            5.954380            
3.145000            5.815193            9.600186            9.600186            5.815193            
3.155000            5.534844            9.400190            9.400190            5.534844            
3.165000            5.127410            9.052849            9.052849            5.127410            
3.175000            4.611604            8.575079            8.575079            4.611604            
3.185000            4.009920            7.987064            7.987064            4.009920            
3.195000            3.347604            7.311202            7.311202            3.347604            
3.205000            2.651512            6.571027            6.571027            2.651512            
3.215000            1.948893            5.790172            5.790172            1.948893            
3.225000            1.266162            4.991432            4.991432            1.266162            
3.235000            0.627715            4.195965            4.195965            0.627715            
3.245000            0.054851            3.422656            3.422656            0.054851            
3.255000            -0.435162           2.687688            2.687688            -0.435162           
3.265000            -0.829816           2.004294            2.004294            -0.829816           
3.275000            -1.121859           1.382712            1.382712            -1.121859           
3.285000            -1.309537           0.830307            0.830307            -1.309537           
3.295000            -1.396552           0.351829            0.351829            -1.396552           
3.305000            -1.391760           -0.050213           -0.050213           -1.391760           
