bin                 q                   Fx                  Icoh               
309                 3.095000            44.597736           5.530626            555.301647         
310                 3.105000            44.749618           6.064641            598.482367         
311                 3.115000            44.901583           6.450763            628.927422         
312                 3.125000            45.053632           6.679428            645.963170         
313                 3.135000            45.205764           6.747099            649.429227         
314                 3.145000            45.357980           6.656247            639.668331         
315                 3.155000            45.510281           6.415067            617.494275         
316                 3.165000            45.662667           6.036947            584.140083         
317                 3.175000            45.815138           5.539724            541.189513         
318                 3.185000            45.967695           4.944769            490.495684         
319                 3.195000            46.120339           4.275939            434.091130         
320                 3.205000            46.273068           3.558474            374.093877         
321                 3.215000            46.425885           2.817860            312.614176         
322                 3.225000            46.578790           2.078751            251.666304         
323                 3.235000            46.731782           1.363963            193.089473         
324                 3.245000            46.884862           0.693622            138.481216         
325                 3.255000            47.038031           0.084463            89.145918          
326                 3.265000            47.191290           -0.450654           46.060218          
327                 3.275000            47.344638           -0.903024           9.856145           
328                 3.285000            47.498076           -1.268164           -19.178172         
329                 3.295000            47.651604           -1.545665           -41.081217         
330                 3.305000            47.805223           -1.738850           -56.186083         
331                 3.315000            47.958934           -1.854283           -65.076262         
332                 3.325000            48.112736           -1.901134           -68.532291         
333                 3.335000            48.266631           -1.890471           -67.472640         
334                 3.345000            48.420618           -1.834498           -62.892352         
335                 3.355000            48.574698           -1.745798           -55.802931         
336                 3.365000            48.728872           -1.636621           -47.176660         
337                 3.375000            48.883140           -1.518244           -37.898172         
338                 3.385000            49.037502           -1.400448           -28.725503         
339                 3.395000            49.191960           -1.291128           -20.262210         
340                 3.405000            49.346512           -1.196050           -12.941401         
341                 3.415000            49.501161           -1.118761           -7.021791          
342                 3.425000            49.655905           -1.060656           -2.595177          
343                 3.435000            49.810747           -1.021166           0.395942           
344                 3.445000            49.965685           -0.998078           2.132405           
345                 3.455000            50.120722           -0.987930           2.886343           
346                 3.465000            50.275856           -0.986470           2.985551           
347                 3.475000            50.431089           -0.989131           2.776904           
